"outcome","strategy_code","strategy","performance_indicator","2022","2023","2024","2025","2026","responsible","data_source"
"Providers equipped to undertake tasks to achieve full accreditation.","SP03-SO01-ST01","Assist providers to undertake tasks to achieve full accreditation.","Number of providers with robust quality assurance system","7","8","9","10","11","Principal QA Officer for Institutional Accreditation","Quarterly and annual reports"
"Providers equipped to undertake tasks to achieve full accreditation of their programmes","SP03-SO01-ST02","Assist providers to undertake tasks to achieve full accreditation of their programmes.","Number of providers with all programmes accredited","5","7","8","9","10","Principal QA Officer for Programme Accreditation","Quarterly and annual reports"
"Providers equipped to successfully undertake tasks to implement Recognition of Prior Learning (RPL)","SP03-SO01-ST03","Assist providers to undertake tasks to implement Recognition of Prior Learning (RPL)","Number of providers with developed RPL Policy and Procedures","5","3","6","10","-","Principal QA Officer for RPL","Quarterly and annual reports"
"Schools equipped to successfully undertake tasks to meet the requirements of the Inspection Framework","SP03-SO01-ST04","Assist schools to undertake tasks to meet the requirements of the Inspection Framework in order to achieve the status of a performing school","Number of capacity building workshops and working meetings held for guidance of schools per year","1","2","2","2","2","Principal QA Officer for School Inspection","Quarterly and annual reports"
"Providers equipped to develop programmes of study using unit standards","SP03-SO01-ST05","Support providers in translating unit standards into programmes of study","Number of training workshops held","-","4","4","1","-","Principal Standards Setting Officers; Principal QA Officer for Programme Accreditation","Quarterly and annual reports"
"Providers equipped to develop programmes of study using unit standards","SP03-SO01-ST05","Support providers in translating unit standards into programmes of study","Number of staff of providers trained","-","40","40","10","-","Principal Standards Setting Officers; Principal QA Officer for Programme Accreditation","Quarterly and annual reports"
"Fee structure for Programme Accreditation","SP03-SO02-ST01","Develop and implement a fee structure for Programme Accreditation","Fee structure for Programme Accreditation developed and approved by SQA Board","-","Yes","-","-","-","Principal QA Officer for Programme Accreditation","Published fee structure document for Programme Accreditation"
"Fee structure for Institutional Accreditation","SP03-SO02-ST02","Develop and implement a fee structure for Institutional Accreditation","Fee structure for Institutional Accreditation developed and approved by SQA Board","Yes","-","-","-","-","Principal QA Officer for Institutional Accreditation","Published fee structure document for Institutional Accreditation"
"Reviewed fee structure for Recognition and Evaluation of qualifications","SP03-SO02-ST03","Review the fee structure for Recognition and Evaluation of qualifications","Fee structure for Recognition and Evaluation of qualifications reviewed and approved by SQA Board","-","Yes","-","-","-","Principal QA Officer for RPL","Published revised fee structure document for Recognition and Evaluation of qualifications"
"Reviewed Guidelines on Fees for RPL","SP03-SO02-ST04","Review the Guidelines on Fees for RPL","Guidelines on Fees for RPL reviewed and approved by SQA Board","-","Yes","-","-","-","Principal QA Officer RPL","Published revised Guidelines document on Fees for RPL"
"Tools for monitoring implementation of accredited programmes; Reports of Monitoring Visits","SP03-SO03-ST01","Develop and implement tools for monitoring implementation of accredited programmes","Tools for monitoring implementation of accredited programmes developed and approved by SQA Board ","- ","- ","Yes ","- ","- ","Principal QA Officer Programme Accreditation ","Published monitoring tools; Monitoring visit reports "
"Tools for monitoring implementation of accredited programmes; Reports of Monitoring Visits","SP03-SO03-ST01","Develop and implement tools for monitoring implementation of accredited programmes","Number of resource persons trained for the task","-","-","6","8","6","Principal QA Officer Programme Accreditation ","Published monitoring tools; Monitoring visit reports "
"Tools for monitoring implementation of accredited programmes; Reports of Monitoring Visits","SP03-SO03-ST01","Develop and implement tools for monitoring implementation of accredited programmes","Number of Monitoring Visits per year","-","-","-","2","2","Principal QA Officer Programme Accreditation ","Published monitoring tools; Monitoring visit reports "
"Compliance instruments","SP03-SO03-ST02","Develop compliance instruments for monitoring adherence to the prescribed requirements as established by the SQA Act 2021","Compliance instruments developed and approved by SQA Board","-","-","YES","-","-","SQA Technical Committee","Published compliance instruments."
"Stakeholders have been familiarised with the content of the Act","SP04-SO01-ST01","Develop and implement programmes for sensitisation of the SQA Act 2021","Number of stakeholder groups sensitised per year","1","2","-","-","-","SQA Technical Committee","Sensitisation programme; Attendance records"
"Extent of public knowledge of SQA and its functions established","SP04-SO01-ST02","Conduct a small survey to establish the extent of the public’s knowledge of SQA and its operations","Completed survey instruments analysed","-","YES","-","-","-","SQA Technical Committee","Survey instrument; Survey report"
"Increased public awareness of the SQA and its functions","SP04-SO01-ST03","Develop sensitisation and promotion materials in different media on the functions and operations of the SQA","Sensitisation and promotion materials developed for audio, visual, written and digital media","YES","YES","YES","YES","YES","SQA Technical Committee","Sensitisation and promotion materials; Website; Facebook page"
"Enhanced service delivery to meet the satisfaction of clients","SP04-SO01-ST04","Undertake annual client satisfaction surveys","Completed survey instruments analysed","-","YES","YES","YES","YES","SQA Technical Committee","Survey instrument; Survey reports"
