"key_sector_challenge","strategic_objective_code","strategic_objective","indicator","baseline","target_2022","target_2023","target_2024","target_2025","target_2026","data_sources","responsible","indicator_protocol"
"This is a new functiontransferred from TEC to SQA and incorporated in the SQA Act 2021. As such no structure for registration currently exists","SP02-SO03","Establish mechanisms and processes for registration of tertiary education and training providers and other providers of post compulsory education and training","The Registration Unit establishedand Registration Officer recruited",NA,NA,"YES",NA,NA,NA,"Recruitment documents","CEO & AO","Registration Officerrecruited and Unit operational"
"transferred from TEC to SQA and incorporated in the SQA Act 2021. As such no structure for registration currently exists","SP02-SO03","Establish mechanisms and processes for registration of tertiary education and training providers and other providers of post compulsory education and training","Registration documents published",NA,NA,"YES","-","-","-","The published documents; Website","Registration Officer","Registration procedures, standards, criteria and tools"
"transferred from TEC to SQA and incorporated in the SQA Act 2021. As such no structure for registration currently exists","SP02-SO03","Establish mechanisms and processes for registration of tertiary education and training providers and other providers of post compulsory education and training","Sensitisation programmes implemented",NA,NA,"4","-","-","-","Sensitisation programme; Attendance records","Registration Officer","Number of stakeholders sensitised"
"transferred from TEC to SQA and incorporated in the SQA Act 2021. As such no structure for registration currently exists","SP02-SO03","Establish mechanisms and processes for registration of tertiary education and training providers and other providers of post compulsory education and training","Number of post compulsory education and training providers registered",NA,NA,"10","11","12","12","Registration documents; Database of registered providers","Registration Officer","% increase of registered post compulsory education and training providers"
"Limitations in fulfilling quality assurance requirements by providers","SP03-SO01","Provide guidance and support to providers to expedite the processes of programme accreditation, school inspection, institutional accreditation and Recognition of Prior Learning (RPL)","Number of capacity building workshops and working meetings held for guidance of providers per year","7","15","17","10","10","10","SQA reports","Technical Committee","Number of providers benefitted from training and technical support."
"The majority of services of the SQA offered to providers and clients are non-fee paying.","SP03-SO02","Review, develop and implement a fee structure for the different services of the SQA","Number of services for which fee structure has been reviewed or developed","0","1","4",NA,NA,NA,"Published fee structures","Principal Quality Assurance Officers","Fee structure for Programme Accreditation; Institutional Accreditation; Recognition and Evaluation of Qualifications; and RPL"
"There is limited monitoring mechanisms for assurance of compliance by providers.","SP03-SO03","Improve the institutional quality assurance standards by monitoring compliance with the provisions of the SQA Act 2021","Tools for monitoring implementation of accredited programmes developed and implemented","0","0","YES","YES","YES","YES","The published tools; SQA reports","Principal Quality Assurance Officer for Programme Validation","Monitoring tools; Adherence to implementati on requirements of accredited programmes"
"There is limited monitoring mechanisms for assurance of compliance by providers.","SP03-SO03","Improve the institutional quality assurance standards by monitoring compliance with the provisions of the SQA Act 2021","Compliance instruments for monitoring adherence to the prescribed requirements as established by the SQA Act 2021developed and implemented","0","0","0","YES","YES","YES","The published compliance instruments; SQA records","Technical Committee","Compliance instruments; % level of compliance with the provisions of the SQA Act 2021"
"The populace is not fully sensitised on the SQA and its functions and there is no mechanism to gauge satisfaction of the public with service delivery.","SP04-SO01","Enhance awareness of the SQA","Number of sensitisation programmes on the SQA Act 2021 implemented per year","1","1","2","-","-","-","Sensitisation programme; Attendance records","Technical Committee","Sensitisation programmes implemented per year"
"The populace is not fully sensitised on the SQA and its functions and there is no mechanism to gauge satisfaction of the public with service delivery.","SP04-SO01","Enhance awareness of the SQA","Number of surveys undertaken","0","0","2","1","1","1","Survey instruments; Survey reports","Technical Committee","Survey on public’s knowledge of SQA; Annual surveys on client satisfaction"
"The populace is not fully sensitised on the SQA and its functions and there is no mechanism to gauge satisfaction of the public with service delivery.","SP04-SO01","Enhance awareness of the SQA","Sensitisation materials developed for audio, visual, written and digital media","5","5","8","10","12","13","Sensitisation materials; Website; Facebook page","Technical Committee","Improved public knowledge on SQA"
